date,tweetcount,closelast,volume,open,high,low,sell,buy,iraneventcount,alleventcount,covidtrend,irantrend,new_cases,cumulative_cases,new_deaths,cumulative_deaths,globalnew_cases,globalcumulative_cases,global_new_deaths,global_cumulative_deaths,tweetscovidnofarsi,tweetsnofarsi,tweetsenglish,tweetscovid,iranprotest,iranmatconf,year,month,day,statadate,irneventpr,newcasepr,cumcasepr,newdeathpr,cumdeathpr
2020-08-31,1432,45.279999,9734,45.709999,46.509998,45.220001,23870,23770,27,1765,29,2,1754,373570,103,21462,277765,25459857,5706,895278,68,1288,781,68,0,0,2020,8,31,31aug2020,.01529745,.0063146907,.014672902,.018051174,.023972442
2020-09-01,1574,45.580002,19319,45.57,46.220001,45.470001,24350,24250,40,1784,29,2,1642,375212,109,21571,225348,25685205,4207,899485,49,1417,680,49,0,0,2020,9,1,01sep2020,.022421524,.0072865081,.014608098,.025909198,.0239815
2020-09-02,890,44.43,3716,45.849998,44.759998,44.200001,24500,24400,25,1825,29,2,1682,376894,101,21672,269401,25954606,4751,904236,50,766,501,51,1,1,2020,9,2,02sep2020,.01369863,.0062434808,.014521276,.021258682,.023967195
2020-09-03,690,44.07,30093,44.369999,44.610001,43.16,24250,24150,37,1690,29,2,1858,378752,125,21797,295173,26249779,6676,910912,67,622,368,67,0,1,2020,9,3,03sep2020,.021893492,.0062946137,.014428769,.018723786,.023928765
2020-09-04,561,42.66,31984,43.869999,43.560001,42.299999,24250,24150,21,1698,29,2,1994,380746,129,21926,294557,26544336,6056,916968,27,487,256,27,0,0,2020,9,4,04sep2020,.012367492,.0067694876,.014343776,.021301189,.023911413
2020-09-05,727,42.66,31984,43.869999,43.560001,42.299999,24650,24550,22,792,29,2,2026,382772,118,22044,298474,26842810,6132,923100,63,674,450,63,0,0,2020,9,5,05sep2020,.027777778,.0067878608,.014259759,.019243313,.023880403
2020-09-06,951,42.66,31984,43.869999,43.560001,42.299999,24700,24600,0,75,30,3,1894,384666,110,22154,321852,27164662,5733,928833,36,854,620,36,0,0,2020,9,6,06sep2020,0,.0058846925,.01416053,.019187162,.023851436
2020-09-07,677,42.66,31984,43.869999,43.560001,42.299999,24820,24720,33,1273,30,3,1992,386658,139,22293,274601,27439263,8842,937675,55,589,338,55,0,0,2020,9,7,07sep2020,.025923017,.0072541614,.014091413,.015720425,.023774762
2020-09-08,896,39.779999,51439,42.220001,42.450001,39.299999,25350,25250,62,1975,30,3,2152,388810,117,22410,235324,27674587,6049,943724,47,833,451,47,0,1,2020,9,8,08sep2020,.031392407,.0091448389,.014049351,.019342041,.023746349
2020-09-09,853,40.790001,29656,39.799999,41.200001,39.279999,25730,25630,63,1723,30,3,2302,391112,132,22542,241176,27915763,4317,948041,75,789,531,75,0,1,2020,9,9,09sep2020,.036564134,.0095448969,.014010436,.03057679,.023777453
